steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
48001324	223688	46875.46385383606	467.3	428.0	109.26018894770816	776.0	422.0	0.6865684296979311	1.096152979616899
49000248	225044	47802.62892770767	420.1	418.0	16.502188407063535	458.0	404.0	4.823130574028825	0.8978643772592413
50003230	226316	48805.42062282562	433.5	421.0	57.70278252485846	593.0	381.0	2.726534353710486	1.0547360218642594
51000458	227779	49781.6062233448	445.9	424.5	97.13959028120306	718.0	374.0	4.705030031813416	0.9349514758711902
52000143	229228	50708.20771288872	487.4	427.5	192.19272734535105	831.0	176.0	2.8456776031978164	1.0113556433925686
53000180	230620	51669.68698644638	470.4	435.0	134.76250714992406	828.0	328.0	1.809974977440568	0.987104585643093
54003292	231950	52629.24302530289	441.3	417.5	93.56168494041184	702.0	382.0	2.7915579886576354	1.0254821554908773
55000108	233225	53606.91715884209	395.5	425.0	96.92293616866729	488.0	136.0	4.225770425041491	0.9613143214111652
56000211	234532	54579.34980368614	463.1	429.5	120.23075036500991	803.0	394.0	3.326894175375256	1.004225643315206
57000182	235974	55480.488577604294	457.6	431.5	149.90456223136698	717.0	196.0	2.0864888931761807	1.0515109884839966
58001995	237209	56439.939930677414	461.9	427.5	125.59232991442325	810.0	381.0	4.280973673939689	0.9426005843145
59001434	238548	57390.35662341118	410.4	425.5	177.61393839198294	773.0	55.0	3.516680331712903	1.0103346659733685
60000858	239903	58395.19387435913	483.0	419.0	178.42458724439672	827.0	326.0	3.6570896254015093	0.9545034098631197
61000037	241301	59293.38493037224	430.6	423.5	139.84610589263232	782.0	216.0	4.386789534164352	1.0011879568090116
62000530	242765	60189.444996356964	428.9	408.5	91.84582492174347	678.0	358.0	2.216299519529037	1.0552722581592107
63000977	244130	61074.61968636513	403.9	429.0	100.3653880135533	471.0	123.0	1.886441721214321	1.1298999958236837
64000198	245340	61996.643037080765	561.1	432.0	194.16856937551282	851.0	408.0	1.3308982337372044	1.0608988808544986
65000480	246613	62823.25145316124	396.6	424.0	140.97139189684316	580.0	23.0	5.159562960931561	0.9226409808812632
66001568	248047	63699.58399939537	351.7	420.5	138.48951023252425	485.0	78.0	4.465444281518873	0.9713944504519347
67000576	249380	64636.25361943245	454.1	426.0	138.50106297225463	824.0	285.0	0.5825830334716867	0.9819749357748535
68002865	250622	65557.46305203438	448.6	427.5	150.27840829606893	860.0	318.0	4.819937825601997	0.8933492490893257
69002103	251730	66468.32250714302	418.4	427.0	31.90332619370937	450.0	335.0	2.0392876668622777	1.0439553128766397
70000511	252886	67391.54779744148	425.5	428.5	31.746390870984584	461.0	342.0	3.764094786465726	1.0022005060582873
71000514	254072	68350.05137324333	500.1	421.0	171.80832343050207	829.0	374.0	2.687047507802326	1.0742375644294804
72000506	255075	69265.42495203018	498.4	425.5	157.29533439432404	824.0	375.0	4.158345063033113	0.9739747670473627
73000169	256109	70212.78650140762	443.7	422.5	157.08458443356773	863.0	258.0	1.686010624524002	1.0766340237644336
74000877	257114	71132.32131409645	432.0	429.5	16.404606399152375	469.0	405.0	1.7339231764966003	1.067233759382135
75000533	258244	72078.61692643166	461.1	426.5	98.08324129137569	704.0	350.0	2.05793702132437	1.0687234035083104
76000656	259433	72994.81693673134	474.7	425.0	129.28439795874658	822.0	383.0	0.30106796688466725	1.1564123264338517
77000150	260659	73927.08542919159	461.5	428.5	138.98700978468776	850.0	368.0	4.506807247504886	0.995699644069596
78001429	261869	74903.00795769691	420.7	422.0	31.777175596470006	494.0	373.0	3.412536005597198	1.0186535616158783
79000376	262992	75821.72895264626	479.7	423.5	155.97510485116953	793.0	376.0	2.740765298991369	1.108173324373915
