steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
11200137	19946	104692.99203395844	6050.0	5920.0	1991.520915168996	9180.0	3000.0	6.3684770006204054	2.346110093639218
11300486	20055	105656.35079097748	9046.0	6950.0	5892.066605944717	21560.0	4180.0	7.736896303235379	2.336521673903822
11400631	20161	106672.66395545006	10644.0	9410.0	6136.439793017881	22620.0	3740.0	6.572735452935512	2.3188137869327536
11501352	20281	107771.42175364494	12706.0	7790.0	9747.227754027752	26400.0	4200.0	6.595708951739261	2.330480508199458
11600138	20390	108794.58514261246	7432.0	7320.0	3212.06337283546	12880.0	3760.0	7.282180071992568	2.3321313446407688
11700118	20510	109742.98692941666	7560.0	7070.0	3015.4122622140926	12280.0	3420.0	5.437651442106595	2.3115465923901213
11800107	20610	110704.54277038574	7974.0	6750.0	3082.5681933522033	14160.0	4700.0	7.6672196843312665	2.3043800039281486
11900268	20729	111972.45870733261	16632.0	19590.0	9186.817608822861	25280.0	4220.0	6.62382419022277	2.2943269181768176
12000358	20845	113127.25933170319	13444.0	10790.0	8061.694335284336	25980.0	2860.0	5.989674892689807	2.2913247563606443
12101680	20969	114036.88960051537	5860.0	6270.0	3303.7621652359367	11620.0	1820.0	6.499060911028311	2.2851740589623533
12200311	21086	114966.56732749939	7712.0	5580.0	5278.974647915382	21600.0	4300.0	7.2217334458737446	2.2845633407611574
12300504	21197	115924.99385333061	7890.0	5960.0	6789.50988249111	23520.0	1980.0	7.999571640288997	2.2809760854235024
12400587	21302	116874.97308826447	6422.0	6310.0	2964.8526289026763	13440.0	2380.0	7.029217636771491	2.2805830975220736
12501077	21411	117803.62615346909	6030.0	5930.0	1434.6273228805994	8020.0	3900.0	7.447182798523475	2.282473591319178
12600094	21524	118669.00739836693	5340.0	5640.0	1928.8684074693467	8780.0	1180.0	6.550861176725719	2.276277103257517
12700710	21629	119668.26674461365	8826.0	6310.0	4968.970830173096	19120.0	4800.0	6.3436988217661225	2.2822556695304703
12800528	21745	120628.11529016495	8150.0	6820.0	4010.56659892894	16320.0	4780.0	6.635321616540472	2.2678931830721094
12900247	21864	121646.64576506615	8832.0	8550.0	3605.5044338098132	15860.0	4440.0	6.454950671161027	2.2583090708051796
13000834	21977	122694.04118776321	10590.0	8890.0	6532.620709434564	26040.0	3940.0	7.574576940664777	2.264149213651045
13100475	22095	123653.63626909256	8500.0	4580.0	7864.835945170405	26100.0	3640.0	8.07362294216024	2.2565185372272833
13200552	22223	124472.30046963692	4038.0	4100.0	862.2683263733318	5060.0	2720.0	7.390901092736778	2.278857255744129
13300051	22360	125474.54336357117	9154.0	8900.0	3003.1990351031423	14700.0	5540.0	5.982403383266291	2.2680221033370667
13400049	22489	126387.27960705757	6368.0	6020.0	2674.6912594416076	10500.0	2260.0	6.605973823771973	2.255607523911316
13500345	22613	127526.74621939659	9576.0	7390.0	6745.222506831533	25780.0	4680.0	7.445988847876778	2.2552652612892388
13600083	22726	128494.89798569679	8570.0	7750.0	3587.83438240334	14140.0	4640.0	7.1067838231788905	2.2533356641331106
13700038	22836	129410.94075846672	7112.0	6400.0	1218.0202516105112	9140.0	6040.0	6.576154245870657	2.2638091173223254
13800199	22947	130496.06438708305	11776.0	8140.0	7825.654676198734	26300.0	5720.0	6.948589273807924	2.2645698470976896
13900652	23072	131451.01404619217	7730.0	6510.0	4564.006524486524	15780.0	2200.0	5.215583743831901	2.2797980861790315
14000012	23198	132325.88343691826	6160.0	5770.0	1706.2759969529484	8700.0	3900.0	7.180257433827202	2.277614375618284
14100436	23308	133222.9404115677	6188.0	5650.0	3533.0591088554784	15760.0	3680.0	7.172543026276245	2.279014336801746
14201059	23438	134056.42853331566	3020.0	2670.0	1541.8315227172016	5780.0	1140.0	6.236537535255903	2.284568901027912
14300322	23561	134898.11649227142	4952.0	4980.0	907.1175349546619	6300.0	3160.0	7.499101951850094	2.2915107619229955
14400695	23698	135750.05120801926	5200.0	5080.0	840.8989898383224	6720.0	4120.0	7.067658104819615	2.27901348596633
14500627	23821	136635.69097280502	4424.0	4080.0	1317.8703358912903	6760.0	2500.0	6.124569261679992	2.2721599601183815
14600627	23948	137506.1073589325	5348.0	5610.0	1505.5216888359846	7180.0	2980.0	6.44651012522576	2.257550925674002
14700636	24075	138485.90503907204	8724.0	5670.0	6499.714865540898	20520.0	3420.0	6.737262715605554	2.2572345436851022
14800090	24200	139458.74092245102	8604.0	6930.0	6095.949839397012	25580.0	4320.0	7.6407605388179105	2.2539870941482634
14900352	24320	140387.75641918182	7248.0	7000.0	1015.3576271989643	8780.0	5700.0	6.488368382643349	2.244189715151567
15000162	24445	141292.2228822708	6482.0	5870.0	4776.74412591301	19400.0	3180.0	7.070478899375375	2.2670153716785957
